{
debugQuery: { },
pageNumbers: 76,
extenalFileds: {
mdmGroupId: "R0401002",
picVersion: "2001",
auxdescription: "紫灯照射 桶风干 预约快速洗 8档水位 辣妈宝宝专用",
ZYLY: "0",
attrShow: [
{
attrAppValue: "4kg及以下",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4kg及以下",
attrValueId: "1199987",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://hrsdq.suning.com",
paramValue: "XQB38-383",
goodType: "Z001",
commentShow: "60+"
},
saleStatus: 0
},
{
partnumberVendorId: "606225648_0070204644",
vendorId: "0070204644",
vendorName: "远瑾电器专营店",
inventory: "0",
auxdescription: "8公斤大容量",
brandId: "000022029",
brandName: "小天鹅(Little Swan)",
catentdesc: "小天鹅(Little Swan)TP80-DS905 8公斤双桶洗衣机",
catentryId: "",
countOfarticle: "0",
partnumber: "606225648",
price: "629.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "0.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"629.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"4788719798407831384","short_brand_Id_1":"665232009799893068","isKAcomoodity":"1","totalCount":"0.000000","countOfarticle":"0","praiseRate":"0.000000","goodsQualityScore":"0.000000","shopQualityScore":"0.000000","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"0","categoryId":"244006","goodQualityScore":"0.000000","totalScore":"3976.328857","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"0","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.000000","goodQualityScore":"0.000000","shopQualityScore":"0.000000","goodAppQualityScore":"0.000070","goodConQualityScore":"0.864000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.111446","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"606225648":{"url":"/uimg1/b2c/image/KSD_It3rdxqaM6sTXUgtLg==.jpg"}}",
mdmGroupId: "R0401002",
auxdescription: "8公斤大容量",
ZYLY: "0",
attrShow: [
{
attrAppValue: "8-8.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "8-8.9kg",
attrValueId: "1199982",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://yuanjin.suning.com",
paramValue: "TP80-DS905",
goodType: "Z001",
commentShow: "0"
},
saleStatus: 0
},
{
partnumberVendorId: "10471978206_0070162819",
vendorId: "0070162819",
vendorName: "格欣电器专营店",
inventory: "0",
auxdescription: "【 镇店之宝 满500-10 晒图再返10元 到手价618元 】蓝光洗涤",
brandId: "000022318",
brandName: "志高(CHIGO)",
catentdesc: "志高（CHIGO）XQB75-5A508A 7.5公斤大容量家用波轮全自动洗衣机 小型迷你洗衣机洗脱一体 蓝光抑菌",
catentryId: "",
countOfarticle: "306",
partnumber: "10471978206",
price: "638.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "98.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"638.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"2377078730079019073","short_brand_Id_1":"4787213202300532761","isKAcomoodity":"1","totalCount":"523.000000","countOfarticle":"306","praiseRate":"98.000000","goodsQualityScore":"0.018540","shopQualityScore":"0.658490","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"306","categoryId":"244006","goodQualityScore":"0.015270","totalScore":"3976.010498","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"306","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.554141","goodQualityScore":"0.015270","shopQualityScore":"0.658490","goodAppQualityScore":"0.037810","goodConQualityScore":"0.840000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"1.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"10471978206":{"url":"/uimg1/b2c/image/ViTobaNCVHQ_MoLKHl-MQg==.jpg"}}",
mdmGroupId: "R0401002",
picVersion: "2003",
appAttrTitle: [
"蓝光洗涤",
"风干功能",
"风干自洁"
],
specificUrl: "http://mideagexin.suning.com",
attrShow: [
{
attrAppValue: "7-7.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "7-7.9kg",
attrValueId: "1199977",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
paramValue: "XQB75-5A508A",
goodType: "Z001",
commentShow: "300+",
title: "志高/CHLGO XQB75-5A508A 7.5公斤大容量家用波轮全自动洗衣机 小型迷你洗衣机洗脱一体 蓝光抑菌",
auxdescription: "【 镇店之宝 满500-10 晒图再返10元 到手价618元 】蓝光洗涤",
ZYLY: "0",
shopDomain: "{"appUrl":"http://mqs.m.suning.com/10117579.html","wapUrl":"http://mqs.m.suning.com/10117579.html","wapEndTime":"1510502340000","appStartTime":"1508512500000","wapStartTime":"1508512500000","end":"1510502340000","pcUrl":"http://qs.suning.com/10117578.html","appEndTime":"1510502340000","begin":"1508512500000"}"
},
saleStatus: 0
},
{
partnumberVendorId: "10407142973_0070143264",
vendorId: "0070143264",
vendorName: "金帅电器旗舰店",
inventory: "0",
auxdescription: "租房专用，6.5公斤黄金容量，迷你全自动洗衣机",
brandId: "00002222H",
brandName: "金帅(JINSHUAI)",
catentdesc: "金帅 XQB65-3668 6.5公斤洗衣机全自动家用波轮宿舍迷你小型甩干特价",
catentryId: "",
countOfarticle: "1",
partnumber: "10407142973",
price: "638.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "100.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"638.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"1027244721459708953","short_brand_Id_1":"16544174880102777824","isKAcomoodity":"1","totalCount":"1.000000","countOfarticle":"1","praiseRate":"100.000000","goodsQualityScore":"0.000048","shopQualityScore":"0.634930","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"1","categoryId":"244006","goodQualityScore":"0.000036","totalScore":"3976.010498","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"1","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.000000","goodQualityScore":"0.000036","shopQualityScore":"0.634930","goodAppQualityScore":"0.000084","goodConQualityScore":"0.910000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.500000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"10407142973":{"url":"/uimg1/b2c/image/6KvDDeixdj77M_xKmOh4CQ==.png"}}",
mdmGroupId: "R0401002",
picVersion: "2002",
auxdescription: "租房专用，6.5公斤黄金容量，迷你全自动洗衣机",
ZYLY: "0",
activationFlag: "1",
attrShow: [
{
attrAppValue: "6-6.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "6-6.9kg",
attrValueId: "1199979",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://e-kingsun.suning.com",
paramValue: "XQB65-3668",
goodType: "Z001",
commentShow: "1"
},
saleStatus: 0
},
{
partnumberVendorId: "10471978206_0070078001",
vendorId: "0070078001",
vendorName: "松岛电器专营店",
inventory: "0",
auxdescription: "【818发烧购物节 手机拼购超级秒杀628 晒图再返10元 到手价618元】",
brandId: "000022318",
brandName: "志高(CHIGO)",
catentdesc: "志高（CHIGO）XQB75-5A508A 7.5公斤大容量家用波轮全自动洗衣机 小型迷你洗衣机洗脱一体 蓝光抑菌",
catentryId: "",
countOfarticle: "701",
partnumber: "10471978206",
price: "638.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "98.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"638.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"7517479669356040914","short_brand_Id_1":"4787213202300532761","isKAcomoodity":"1","totalCount":"1831.000000","countOfarticle":"701","praiseRate":"98.000000","goodsQualityScore":"0.059460","shopQualityScore":"0.797730","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"701","categoryId":"244006","goodQualityScore":"0.048850","totalScore":"3976.010498","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"701","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.587264","goodQualityScore":"0.048850","shopQualityScore":"0.797730","goodAppQualityScore":"0.120480","goodConQualityScore":"0.840000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"1.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401002",
picVersion: "2005",
appAttrTitle: [
"蓝光洗涤",
"风干功能",
"风干自洁"
],
specificUrl: "http://songdao.suning.com",
attrShow: [
{
attrAppValue: "7-7.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "7-7.9kg",
attrValueId: "1199977",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
paramValue: "XQB75-5A508A",
goodType: "Z001",
commentShow: "700+",
auxdescription: "【818发烧购物节 手机拼购超级秒杀628 晒图再返10元 到手价618元】",
ZYLY: "0",
shopDomain: "{"wapUrl":"http://mqs.m.suning.com/10112869.html","appEndTime":"1510502340000","wapEndTime":"1510502340000","pcUrl":"http://qs.suning.com/10112868.html","appStartTime":"1508512500000","appUrl":"http://mqs.m.suning.com/10112869.html","end":"1510502340000","begin":"1508512500000","wapStartTime":"1508512500000"}",
LLPG: "1",
lpgId: "6cd6045d"
},
saleStatus: 0
},
{
partnumberVendorId: "654527656_0070151189",
vendorId: "0070151189",
vendorName: "庄舟电器旗舰店",
inventory: "0",
auxdescription: "【店长推荐 高性价比 家用全自动】全自动家用 解放双手 晒图奖励10元电费",
brandId: "000024983",
brandName: "韩电(KEG)",
catentdesc: "韩电6.5公斤全自动家用甩干波轮小型洗衣机迷你 静音杀菌 一键洗脱 儿童安全锁 24h预约洗",
catentryId: "",
countOfarticle: "3465",
partnumber: "654527656",
price: "638.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "99.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"638.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"225143856826617854","short_brand_Id_1":"1318497282123518618","isKAcomoodity":"1","totalCount":"76.000000","countOfarticle":"3465","praiseRate":"99.000000","goodsQualityScore":"0.003672","shopQualityScore":"0.835550","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"3465","categoryId":"244006","goodQualityScore":"0.002676","totalScore":"3976.010498","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"3465","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.638970","goodQualityScore":"0.002676","shopQualityScore":"0.835550","goodAppQualityScore":"0.006708","goodConQualityScore":"0.910000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"1.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.353755","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"654527656":{"url":"/uimg1/b2c/image/g87JSMYnb90uO2MFXuttNw==.jpg"}}",
mdmGroupId: "R0401002",
picVersion: "2025",
auxdescription: "【店长推荐 高性价比 家用全自动】全自动家用 解放双手 晒图奖励10元电费",
ZYLY: "0",
activationFlag: "1",
appAttrTitle: [
"一键洗脱",
"安全儿童锁",
"洁净桶风干"
],
attrShow: [
{
attrAppValue: "6-6.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "6-6.9kg",
attrValueId: "1199979",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://zzdq.suning.com",
paramValue: "XQB65-16788T",
goodType: "Z001",
commentShow: "3400+"
},
saleStatus: 0
},
{
partnumberVendorId: "10107721401_0070162819",
vendorId: "0070162819",
vendorName: "格欣电器专营店",
inventory: "0",
auxdescription: "带风干功能！洁桶技术！8大智能洗涤功能！不锈钢内筒！",
brandId: "000020280",
brandName: "澳柯玛(AUCMA)",
catentdesc: "澳柯玛(AUCMA) XQB55-8918 5.5公斤全自动波轮洗衣机 家用洗衣容量 桶风干自洁",
catentryId: "",
countOfarticle: "492",
partnumber: "10107721401",
price: "648.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "100.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"648.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"2377078730079019073","short_brand_Id_1":"13437729011210147851","isKAcomoodity":"1","totalCount":"0.000000","countOfarticle":"492","praiseRate":"100.000000","goodsQualityScore":"0.000348","shopQualityScore":"0.658490","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"492","categoryId":"244006","goodQualityScore":"0.000348","totalScore":"3975.657471","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"492","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.573739","goodQualityScore":"0.000348","shopQualityScore":"0.658490","goodAppQualityScore":"0.000348","goodConQualityScore":"0.914000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"1.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"10107721401":{"url":"/uimg1/b2c/image/z9-BzwzkCaKBP6mJtwgRKg==.jpg"}}",
mdmGroupId: "R0401002",
picVersion: "2003",
auxdescription: "带风干功能！洁桶技术！8大智能洗涤功能！不锈钢内筒！",
ZYLY: "0",
shopDomain: "{"appUrl":"http://mqs.m.suning.com/10117579.html","wapUrl":"http://mqs.m.suning.com/10117579.html","wapEndTime":"1510502340000","appStartTime":"1508512500000","wapStartTime":"1508512500000","end":"1510502340000","pcUrl":"http://qs.suning.com/10117578.html","appEndTime":"1510502340000","begin":"1508512500000"}",
activationFlag: "1",
appAttrTitle: [
"租房优选",
"风干功能",
"风干自洁"
],
attrShow: [
{
attrAppValue: "4-5.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4-5.9kg",
attrValueId: "1199976",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://mideagexin.suning.com",
paramValue: "XQB55-8918",
goodType: "Z001",
commentShow: "400+"
},
saleStatus: 0
},
{
partnumberVendorId: "10471978206_0070155816",
vendorId: "0070155816",
vendorName: "友田松岛专营店",
inventory: "0",
auxdescription: "【新品秒杀价 手机下单638元 晒图再返10元 到手价628元】",
brandId: "000022318",
brandName: "志高(CHIGO)",
catentdesc: "志高（CHIGO）XQB75-5A508A 7.5公斤大容量家用波轮全自动洗衣机 小型迷你洗衣机洗脱一体 蓝光抑菌",
catentryId: "",
countOfarticle: "0",
partnumber: "10471978206",
price: "648.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "0.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"648.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"18306206642746511594","short_brand_Id_1":"4787213202300532761","isKAcomoodity":"1","totalCount":"2.000000","countOfarticle":"0","praiseRate":"0.000000","goodsQualityScore":"0.000080","shopQualityScore":"0.663120","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"0","categoryId":"244006","goodQualityScore":"0.000060","totalScore":"3975.657471","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"0","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.000000","goodQualityScore":"0.000060","shopQualityScore":"0.663120","goodAppQualityScore":"0.000140","goodConQualityScore":"0.840000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"1.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"10471978206":{"url":"/uimg1/b2c/image/sgIV5uzDSepHR3h-CaMszw==.jpg"}}",
mdmGroupId: "R0401002",
auxdescription: "【新品秒杀价 手机下单638元 晒图再返10元 到手价628元】",
ZYLY: "0",
attrShow: [
{
attrAppValue: "7-7.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "7-7.9kg",
attrValueId: "1199977",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://youtiansongdao.suning.com",
paramValue: "XQB75-5A508A",
goodType: "Z001",
commentShow: "0"
},
saleStatus: 0
},
{
partnumberVendorId: "622672551_0070162819",
vendorId: "0070162819",
vendorName: "格欣电器专营店",
inventory: "0",
auxdescription: "【限时抢购 满500-50元 领券再下单 晒图返现10元 到手价598元】",
brandId: "0000232Z4",
brandName: "长虹红太阳",
catentdesc: "长虹红太阳XQB65-6588 6.5公斤全自动波轮洗衣机小型迷你 小户型租房实用",
catentryId: "",
countOfarticle: "7730",
partnumber: "622672551",
price: "648.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "99.000000",
suningSale: false,
areaNo: "0",
